Bundesland,Fälle,Todesfälle,Besonders betroffene Gebiete in Deutschland,time
Baden-Württemberg,204,0,,20200310130235
Bayern,256,0,,20200310130235
Berlin,48,0,,20200310130235
Brandenburg,6,0,,20200310130235
Bremen,4,0,,20200310130235
Hamburg,17,0,,20200310130235
Hessen,26,0,,20200310130235
Mecklenburg-Vorpommern,10,0,,20200310130235
Niedersachsen,38,0,,20200310130235
Nordrhein-Westfalen,484,2,Landkreis Heinsberg,20200310130235
Rheinland-Pfalz,17,0,,20200310130235
Saarland,6,0,,20200310130235
Sachsen,12,0,,20200310130235
Schleswig-Holstein,9,0,,20200310130235
Thüringen,2,0,,20200310130235
Gesamt,1139,2,,20200310130235
