Bundesland,Zahl be­stä­tig­ter Fälle (darunter Todes­fälle),davon elek­tro­nisch über­mittelt (darunter Todes­fälle),Beson­ders be­trof­fene Gebiete in Deutsch­land,time
Baden-Württemberg,454 (1),401 (1),,20200314134241
Bayern,558 (1),412,,20200314134241
Berlin,174,174,,20200314134241
Brandenburg,44,44,,20200314134241
Bremen,42,42,,20200314134241
Hamburg,99,99,,20200314134241
Hessen,148,94,,20200314134241
Mecklenburg-Vorpommern,33,21,,20200314134241
Niedersachsen,230,134,,20200314134241
Nordrhein-Westfalen,936 (3),887 (3),Landkreis Heinsberg,20200314134241
Rheinland-Pfalz,102,102,,20200314134241
Saarland,40,30,,20200314134241
Sachsen,83,46,,20200314134241
Sachsen-Anhalt,42,29,,20200314134241
Schleswig-Holstein,48,45,,20200314134241
Thüringen,29,16,,20200314134241
Gesamt,3.062 (5),2.576 (4),,20200314134241
