Bundesland,Zahl bestätigter Fälle (darunter Todesfälle),davon elektronisch übermittelt (darunter Todesfälle),Besonders betroffene Gebiete in Deutschland,time
Baden-Württemberg,569 (2),506 (2),,20200315105633
Bayern,681 (1),605 (1),,20200315105633
Berlin,216,216,,20200315105633
Brandenburg,61,57,,20200315105633
Bremen,50,50,,20200315105633
Hamburg,158,119,,20200315105633
Hessen,203,141,,20200315105633
Mecklenburg-Vorpommern,45,23,,20200315105633
Niedersachsen,253,187,,20200315105633
Nordrhein-Westfalen,1.154 (5),1.154 (5),Landkreis Heinsberg,20200315105633
Rheinland-Pfalz,121,121,,20200315105633
Saarland,40,31,,20200315105633
Sachsen,93,86,,20200315105633
Sachsen-Anhalt,45,40,,20200315105633
Schleswig-Holstein,60,54,,20200315105633
Thüringen,46,31,,20200315105633
Gesamt,3.795 (8),3.421 (8),,20200315105633
