Bundesland,Elektronisch übermittelte Fälle,Elektronisch übermittelte Fälle.1,Elektronisch übermittelte Fälle.2,Elektronisch übermittelte Fälle.3,Beson­ders be­trof­fene Gebiete in Deutsch­land,time
,An­zahl,Dif­fe­renz zum Vor­tag,Erkr./ 100.000 Einw.,Todes­fälle,,20200319214603
Baden-Württemberg,2.155,+546,1947,6,,20200319214603
Bayern,1.692,+449,1294,8,,20200319214603
Berlin,573,+182,1529,0,,20200319214603
Brandenburg,134,+42,533,0,,20200319214603
Bremen,80,+11,1171,0,,20200319214603
Hamburg,432,+74,2346,0,,20200319214603
Hessen,682,+250,1088,0,,20200319214603
Mecklenburg-Vorpommern,98,+42,609,0,,20200319214603
Niedersachsen,669,+191,838,0,,20200319214603
Nordrhein-Westfalen,3.033,+661,1691,6,Landkreis Heinsberg,20200319214603
Rheinland-Pfalz,637,+163,1559,0,,20200319214603
Saarland,99,+11,999,0,,20200319214603
Sachsen,275,+77,674,0,,20200319214603
Sachsen-Anhalt,140,+35,634,0,,20200319214603
Schleswig-Holstein,202,+43,697,0,,20200319214603
Thüringen,98,+24,457,0,,20200319214603
Gesamt,10.999,+2.801,1323,20,,20200319214603
