Bundes­land,Elektro­nisch über­mittelte Fälle,Elektro­nisch über­mittelte Fälle.1,Elektro­nisch über­mittelte Fälle.2,Elektro­nisch über­mittelte Fälle.3,Beson­ders be­trof­fene Gebiete in Deutsch­land,time
,An­zahl,Dif­fe­renz zum Vor­tag,Fälle/ 100.000 Einw.,Todes­fälle,,20200324152751
Baden-Württem­berg,5.348,+1.537,48,30,,20200324152751
Bayern,5.754,+862,44,30,,20200324152751
Berlin,1.220,+143,33,1,,20200324152751
Brandenburg,343,+55,14,,,20200324152751
Bremen,183,+13,27,,,20200324152751
Hamburg,1.043,+100,57,,,20200324152751
Hessen,1.620,+273,26,4,,20200324152751
Mecklenburg-Vor­pommern,199,+27,12,,,20200324152751
Niedersachsen,1.764,+281,22,6,,20200324152751
Nordrhein-West­falen,6.318,+703,35,33,Landkreis Heinsberg,20200324152751
Rhein­land-Pfalz,1.370,+193,34,5,,20200324152751
Saarland,337,+137,34,1,,20200324152751
Sachsen,811,+158,20,1,,20200324152751
Sachsen-Anhalt,321,+109,15,,,20200324152751
Schles­wig-Holstein,478,+95,17,2,,20200324152751
Thüringen,327,+78,15,1,,20200324152751
Gesamt,27.436,+4.764,33,114,,20200324152751
