Bundesland,Elektronisch übermittelte Fälle,Elektronisch übermittelte Fälle.1,Elektronisch übermittelte Fälle.2,Elektronisch übermittelte Fälle.3,Besonders betroffene Gebiete in Deutschland,time
,An­zahl,Dif­fe­renz zum Vor­tag,Fälle/ 100.000 Einw.,Todes­fälle,,20200327142512
Baden-Württemberg,8.161,+878,74,70,,20200327142512
Bayern,9.481,+1.488,73,55,,20200327142512
Berlin,1.955,+299,52,8,,20200327142512
Brandenburg,537,+60,21,1,,20200327142512
Bremen,241,+30,35,1,,20200327142512
Hamburg,1.693,+428*,92,2,,20200327142512
Hessen,2.323,+166,37,7,,20200327142512
Mecklenburg-Vorpommern,259,+15,16,,,20200327142512
Niedersachsen,2.810,+463,35,10,,20200327142512
Nordrhein-Westfalen,9.235,+1.311,51,72,Landkreis Heinsberg,20200327142512
Rheinland-Pfalz,1.971,+155,48,8,,20200327142512
Saarland,505,+72,51,2,,20200327142512
Sachsen,1.305,+164,32,7,,20200327142512
Sachsen-Anhalt,458,+40,21,2,,20200327142512
Schleswig-Holstein,812,+137,28,4,,20200327142512
Thüringen,542,+74,25,4,,20200327142512
Gesamt,42.288,+5.780,51,253,,20200327142512
