Bundesland,Fälle,time,Besonders betroffene Gebiete in Deutschland,Todesfälle,Zahl bestätigter Fälle (darunter Todesfälle),davon elektronisch übermittelt (darunter Todesfälle),Elektronisch übermittelte Fälle,Elektronisch übermittelte Fälle.1,Elektronisch übermittelte Fälle.2,Elektronisch übermittelte Fälle.3
Baden-Württemberg,14.0,20200229172202,,,,,,,,
Bayern,15.0,20200229172202,,,,,,,,
Hessen,3.0,20200229172202,,,,,,,,
Nordrhein-Westfalen,30.0,20200229172202,,,,,,,,
Rheinland-Pfalz,1.0,20200229172202,,,,,,,,
Schleswig Holstein,1.0,20200229172202,,,,,,,,
Repatriierte,2.0,20200229172202,,,,,,,,
Gesamt,66.0,20200229172202,,,,,,,,
Baden-Württemberg,15.0,20200301144546,,,,,,,,
Bayern,19.0,20200301144546,,,,,,,,
Bremen,1.0,20200301144546,,,,,,,,
Hamburg,1.0,20200301144546,,,,,,,,
Hessen,8.0,20200301144546,,,,,,,,
Niedersachsen,1.0,20200301144546,,,,,,,,
Nordrhein-Westfalen,66.0,20200301144546,,,,,,,,
Rheinland-Pfalz,2.0,20200301144546,,,,,,,,
Schleswig Holstein,2.0,20200301144546,,,,,,,,
Repatriierte,2.0,20200301144546,,,,,,,,
Gesamt,117.0,20200301144546,,,,,,,,
Baden-Württemberg,19.0,20200302140145,,,,,,,,
Bayern,25.0,20200302140145,,,,,,,,
Berlin,1.0,20200302140145,,,,,,,,
Bremen,1.0,20200302140145,,,,,,,,
Hamburg,1.0,20200302140145,,,,,,,,
Hessen,10.0,20200302140145,,,,,,,,
Niedersachsen,1.0,20200302140145,,,,,,,,
Nordrhein-Westfalen,86.0,20200302140145,,,,,,,,
Rheinland-Pfalz,2.0,20200302140145,,,,,,,,
Schleswig Holstein,2.0,20200302140145,,,,,,,,
Repatriierte,2.0,20200302140145,,,,,,,,
Gesamt,150.0,20200302140145,,,,,,,,
Baden-Württemberg,26.0,20200303144153,,,,,,,,
Bayern,35.0,20200303144153,,,,,,,,
Berlin,3.0,20200303144153,,,,,,,,
Brandenburg,1.0,20200303144153,,,,,,,,
Bremen,1.0,20200303144153,,,,,,,,
Hamburg,2.0,20200303144153,,,,,,,,
Hessen,10.0,20200303144153,,,,,,,,
Niedersachsen,1.0,20200303144153,,,,,,,,
Nordrhein-Westfalen,101.0,20200303144153,,,,,,,,
Rheinland-Pfalz,2.0,20200303144153,,,,,,,,
Sachsen,1.0,20200303144153,,,,,,,,
Schleswig Holstein,2.0,20200303144153,,,,,,,,
Thüringen,1.0,20200303144153,,,,,,,,
Repatriierte,2.0,20200303144153,,,,,,,,
Gesamt,188.0,20200303144153,,,,,,,,
Baden-Württemberg,50.0,20200304170930,,,,,,,,
Bayern,48.0,20200304170930,,,,,,,,
Berlin,7.0,20200304170930,,,,,,,,
Brandenburg,1.0,20200304170930,,,,,,,,
Bremen,3.0,20200304170930,,,,,,,,
Hamburg,3.0,20200304170930,,,,,,,,
Hessen,12.0,20200304170930,,,,,,,,
Mecklenburg-Vorpommern,4.0,20200304170930,,,,,,,,
Niedersachsen,7.0,20200304170930,,,,,,,,
Nordrhein-Westfalen,115.0,20200304170930,,,,,,,,
Rheinland-Pfalz,7.0,20200304170930,,,,,,,,
Saarland,1.0,20200304170930,,,,,,,,
Sachsen,1.0,20200304170930,,,,,,,,
Schleswig Holstein,2.0,20200304170930,,,,,,,,
Thüringen,1.0,20200304170930,,,,,,,,
Gesamt,262.0,20200304170930,,,,,,,,
Baden-Württemberg,65.0,20200305123429,,,,,,,,
Bayern,52.0,20200305123429,,,,,,,,
Berlin,9.0,20200305123429,,,,,,,,
Brandenburg,1.0,20200305123429,,,,,,,,
Bremen,3.0,20200305123429,,,,,,,,
Hamburg,3.0,20200305123429,,,,,,,,
Hessen,14.0,20200305123429,,,,,,,,
Mecklenburg-Vorpommern,4.0,20200305123429,,,,,,,,
Niedersachsen,10.0,20200305123429,,,,,,,,
Nordrhein-Westfalen,175.0,20200305123429,,,,,,,,
Rheinland-Pfalz,7.0,20200305123429,,,,,,,,
Saarland,1.0,20200305123429,,,,,,,,
Sachsen,1.0,20200305123429,,,,,,,,
Schleswig Holstein,3.0,20200305123429,,,,,,,,
Thüringen,1.0,20200305123429,,,,,,,,
Gesamt,349.0,20200305123429,,,,,,,,
Baden-Württemberg,96.0,20200306191524,,,,,,,,
Bayern,117.0,20200306191524,,,,,,,,
Berlin,19.0,20200306191524,,,,,,,,
Brandenburg,2.0,20200306191524,,,,,,,,
Bremen,4.0,20200306191524,,,,,,,,
Hamburg,11.0,20200306191524,,,,,,,,
Hessen,16.0,20200306191524,,,,,,,,
Mecklenburg-Vorpommern,5.0,20200306191524,,,,,,,,
Niedersachsen,18.0,20200306191524,,,,,,,,
